,OFFER,RETAILER,BRAND,BRAND_BELONGS_TO_CATEGORY,RECEIPTS,CATEGORY_ID,PRODUCT_CATEGORY,IS_CHILD_CATEGORY_TO
246,Country Crock® Plant Based Butter at Walmart,WALMART,COUNTRY CROCK PLANT BUTTER,Nut Butters & Jam,2130,,,
247,"Perfect Keto Beauty + Sleep Collagen, online at Amazon",AMAZON,PERFECT KETO,Medicines & Treatments,171,,,
248,"Perfect Keto Beauty + Sleep Collagen, online at Amazon",AMAZON,PERFECT KETO,Nuts & Seeds,26,,,
249,"DOVE® chocolate, select varieties",,DOVE CHOCOLATE,Candy,3730,c99c5725-4d9b-404a-8438-5cf1dc4f12c3,Gum,Candy
250,Simply Spiked™ 12 pack+,,SIMPLY SPIKED,Malt Beverages,2017,,,
251,Simply Spiked™ 12 pack+,,SIMPLY SPIKED,"Hard Seltzers, Sodas, Waters, Lemonades & Teas",661,,,
252,"Perfect Keto Bars, online at Amazon",AMAZON,PERFECT KETO,Medicines & Treatments,171,,,
253,"Perfect Keto Bars, online at Amazon",AMAZON,PERFECT KETO,Nuts & Seeds,26,,,
254,"Gillette Venus ® for Pubic Hair & Skin, spend $20",,GILLETTE VENUS,Hair Removal,12805,,,
255,AleveX™ at Walmart,WALMART,ALEVE,Medicines & Treatments,2594,,,
256,"Envy Apples, pre-packed bags",,ENVY,Sauces & Marinades,418,,,
257,"Envy Apples, pre-packed bags",,ENVY,Candy,25,c99c5725-4d9b-404a-8438-5cf1dc4f12c3,Gum,Candy
258,"Ben & Jerry's Frozen Sugar Cookie Dough Chunks, 8 ounce",,BEN AND JERRYS,Frozen Desserts,18085,,,
259,"L’Oréal Paris Men Expert hair color, spend $9 at Walmart",WALMART,LOREAL PARIS HAIR COLOR,Hair Care,542,,,
260,"Reese's Peanut Butter Bar, 6 count, at GIANT OR MARTIN’S",THE GIANT CO,GOOD HUMOR,Frozen Desserts,1052,,,
261,"Reese's Peanut Butter Bar, 6 count, at GIANT OR MARTIN’S",THE GIANT CO,GOOD HUMOR,Dips & Salsa,596,,,
262,"Magnum Non-Dairy Hazelnut Crunch Ice Cream Bars, 3 count",,MAGNUM ICE CREAM,Frozen Desserts,2257,,,
263,"Butterball, select varieties, spend $10 at Fred Meyer",FRED MEYER,BUTTERBALL,Nut Butters & Jam,2107,,,
264,"Butterball, select varieties, spend $10 at Fred Meyer",FRED MEYER,BUTTERBALL,Frozen Turkey,388,,,
265,"Thomas'® Bagel Thins®, buy 2",,THOMAS,Bread,26490,,,
266,"Thomas'® Bagel Thins®, buy 2",,THOMAS,Frozen Breakfast,258,,,
267,"Thomas'® Bagel Thins®, buy 2",,THOMAS,Bakery,24,,,
268,Spend $60 at TGI Friday's,TGI FRIDAYS,TGI FRIDAYS,Spirits,245,2e390809-d293-43d2-bfa3-56b06d24b3e1,Rum,Spirits
269,Spend $60 at TGI Friday's,TGI FRIDAYS,TGI FRIDAYS,Spirits,245,79e71bb6-c6f8-4782-9e2c-aa535c8d06d7,Vodka,Spirits
270,Spend $60 at TGI Friday's,TGI FRIDAYS,TGI FRIDAYS,Malt Beverages,33,,,
271,"Artesano® buns, buy 2 at Walmart®",WALMART,SARA LEE ARTESANO,Bakery,7912,,,
272,"Artesano® buns, buy 2 at Walmart®",WALMART,SARA LEE ARTESANO,Bread,1806,,,
273,"STARBURST®, select sizes, buy 1",,STARBURST,Candy,11713,c99c5725-4d9b-404a-8438-5cf1dc4f12c3,Gum,Candy
274,"STARBURST®, select sizes, buy 1",,STARBURST,Fruit & Vegetable Snacks,486,,,
275,"STARBURST®, select sizes, buy 1",,STARBURST,Gum,81,,,
276,Fresh Step® Outstretch® Cat Litter,,FRESH STEP,Medicines & Treatments,2445,,,
277,Fresh Step® Outstretch® Cat Litter,,FRESH STEP,Bakery,1717,,,
278,Fresh Step® Outstretch® Cat Litter,,FRESH STEP,Makeup,256,,,
279,Fresh Step® Outstretch® Cat Litter,,FRESH STEP,Bath & Body,109,,,
280,Fresh Step® Outstretch® Cat Litter,,FRESH STEP,Cooking & Baking,44,,,
281,Fresh Step® Outstretch® Cat Litter,,FRESH STEP,Hair Care,40,,,
282,"Sara Lee® or Alfaros® Artesano bread, spend $8",,ALFAROS,Bakery,783,,,
283,"Sara Lee® or Alfaros® Artesano bread, spend $8",,ALFAROS,Bread,583,,,
284,"Back to the Roots Dry Plant Food, 5 pounds, at The Home Depot",THE HOME DEPOT,BACK TO THE ROOTS,Packaged Meals & Sides,146,,,
285,"Burt's Bees Sensitive Lotions and Creams, select varieties, at Walmart",WALMART,BURTS BEES,Makeup,1210,,,
286,"Burt's Bees Sensitive Lotions and Creams, select varieties, at Walmart",WALMART,BURTS BEES,Skin Care,160,,,
287,"Burt's Bees Sensitive Lotions and Creams, select varieties, at Walmart",WALMART,BURTS BEES,Hair Removal,90,,,
288,"Durex® Massage & Play 2 in 1 Pleasure Gel, select varieties, at Walmart or Target",TARGET,DUREX,Medicines & Treatments,376,,,
289,"Durex® Massage & Play 2 in 1 Pleasure Gel, select varieties, at Walmart or Target",TARGET,DUREX,Sexual Health,12,,,
290,"Coors Light®, Miller Lite® OR VIZZY™ 12 packs+, buy 4",,VIZZY,"Hard Seltzers, Sodas, Waters, Lemonades & Teas",1385,,,
291,"Coors Light®, Miller Lite® OR VIZZY™ 12 packs+, buy 4",,VIZZY,Malt Beverages,857,,,
292,LIFE SAVERS®,,LIFESAVERS,Candy,14431,c99c5725-4d9b-404a-8438-5cf1dc4f12c3,Gum,Candy
293,"Butterball, select varieties, spend $10 at Kroger",KROGER,BUTTERBALL,Nut Butters & Jam,2107,,,
294,"Butterball, select varieties, spend $10 at Kroger",KROGER,BUTTERBALL,Frozen Turkey,388,,,
295,"RESPAWN® by 5® GUM, at Walmart",WALMART,5 GUM,Gum,4813,,,
296,"Back to the Roots Garden Soil, 1 cubic foot, at Lowe's Home Improvement",LOWES HOME IMPROVEMENT,BACK TO THE ROOTS,Packaged Meals & Sides,146,,,
297,"SiO® Beauty Patches, online at Siobeauty.com",SIOBEAUTY.COM,SIO BEAUTY,,,,,
298,Wesson® Oil Products,,WESSON,Cooking & Baking,1416,,,
299,"Bubbies Pickles, Sauerkraut, and Condiments at Whole Foods or Sprouts",SPROUTS FARMERS MARKET,BUBBIES,Prepared Meals,600,,,
300,Michael Angelo's® Sauce at Walmart,WALMART,MICHAEL ANGELO'S,Frozen Meals,461,,,
301,Michael Angelo's® Sauce at Walmart,WALMART,MICHAEL ANGELO'S,Sauces & Marinades,27,,,
302,Spend $155 at Pavilions,PAVILIONS,PAVILIONS,Cooking & Baking,15,,,
303,CESAR® Wet Dog Food Singles,,CESAR,Cooking & Baking,2454,,,
304,CESAR® Wet Dog Food Singles,,CESAR,Sauces & Marinades,379,,,
305,CESAR® Wet Dog Food Singles,,CESAR,Dog Supplies,234,,,
306,CESAR® Wet Dog Food Singles,,CESAR,Frozen Chicken,95,,,
307,Spend $90 at ACME,ACME,ACME,Medicines & Treatments,449,,,
308,"Hidden Valley® Ranch Seasoning Mix Packet, 1 count",,HIDDEN VALLEY RANCH,Dips & Salsa,10661,,,
309,"Hidden Valley® Ranch Seasoning Mix Packet, 1 count",,HIDDEN VALLEY RANCH,Sauces & Marinades,1537,,,
310,"Hidden Valley® Ranch Seasoning Mix Packet, 1 count",,HIDDEN VALLEY RANCH,Cooking & Baking,237,,,
311,"Sargento® products, select varieties",,SARGENTO,Cheese,22912,,,
312,"Welch's® Fruit Snacks, 250 count, online at Amazon",AMAZON,WELCHS FRUIT SNACKS,Fruit & Vegetable Snacks,7934,,,
313,"Ben & Jerry's®, select varieties",,BEN AND JERRYS,Frozen Desserts,18085,,,
314,Simply Spiked™ Signature Peach 12 pack+,,SIMPLY SPIKED,Malt Beverages,2017,,,
315,Simply Spiked™ Signature Peach 12 pack+,,SIMPLY SPIKED,"Hard Seltzers, Sodas, Waters, Lemonades & Teas",661,,,
316,"Beech-Nut snacks, select varieties",,BEECHNUT,Crackers,3732,,,
317,"Beech-Nut snacks, select varieties",,BEECHNUT,Fruit & Vegetable Snacks,355,,,
318,"Beech-Nut snacks, select varieties",,BEECHNUT,Nuts & Seeds,45,,,
319,"Beech-Nut snacks, select varieties",,BEECHNUT,Cookies,24,,,
320,"Sargento® products, select varieties, buy 3",,SARGENTO,Cheese,22912,,,
321,Spend $250 at ACME,ACME,ACME,Medicines & Treatments,449,,,
322,Wings OR Cheesy Breadsticks at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Cooking & Baking,58,,,
323,Wings OR Cheesy Breadsticks at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks,42,,,
324,"Butterball, select varieties, spend $10 at Smith's",SMITHS,BUTTERBALL,Nut Butters & Jam,2107,,,
325,"Butterball, select varieties, spend $10 at Smith's",SMITHS,BUTTERBALL,Frozen Turkey,388,,,
326,"Perfect Keto Collagen Peptides, online at Amazon",AMAZON,PERFECT KETO,Medicines & Treatments,171,,,
327,"Perfect Keto Collagen Peptides, online at Amazon",AMAZON,PERFECT KETO,Nuts & Seeds,26,,,
328,"Perfect Keto MCT Oil Powder, online at Amazon",AMAZON,PERFECT KETO,Medicines & Treatments,171,,,
329,"Perfect Keto MCT Oil Powder, online at Amazon",AMAZON,PERFECT KETO,Nuts & Seeds,26,,,
330,Hellmann's® OR Best Foods® AND Sargento® Cheese Slices,,HELLMANNS BEST FOODS,Condiments,7427,,,
331,Hellmann's® OR Best Foods® AND Sargento® Cheese Slices,,HELLMANNS BEST FOODS,Sauces & Marinades,49,,,
332,Hellmann's® OR Best Foods® AND Sargento® Cheese Slices,,HELLMANNS BEST FOODS,Dressings,12,,,
333,Brita® Pitcher AND Filter,,BRITA,Water,24,,,
334,Brita® Pitcher AND Filter,,BRITA,Household Supplies,20,a55443a3-8852-4b1c-818b-10046614496c,Household Cleaning Supplies,Household Supplies
335,Brita® Pitcher AND Filter,,BRITA,Household Supplies,20,87b8ae7a-5a8b-43f1-a4ee-a1fdb3bc068c,Household Supplies,Household Supplies
336,Brita® Pitcher AND Filter,,BRITA,Household Supplies,20,dc7b8939-091d-43c0-bd23-454be9e4995a,Pest Control,Household Supplies
337,Brita® Pitcher AND Filter,,BRITA,Household Supplies,20,5d4a0ce8-cc6b-4b18-bf36-d35026ec60ec,Food Storage,Household Supplies
338,Brita® Pitcher AND Filter,,BRITA,Household Supplies,20,1f782a22-5092-48ab-907c-847bf2fd4468,Laundry Supplies,Household Supplies
339,Spend $90 at Star Market,STAR MARKET,STAR MARKET,Cooking & Baking,35,,,
340,"SNICKERS®, select sizes, buy 1",,SNICKERS,Candy,23740,c99c5725-4d9b-404a-8438-5cf1dc4f12c3,Gum,Candy
341,"Kodiak® products, select varieties, spend $10",,KODIAK CAKES FLAPJACK & WAFFLE MIX,"Cereal, Granola, & Toaster Pastries",104,,,
342,Bays® English Muffins,,BAYS,Bread,1066,,,
343,"Super Coffee, 12 ounce single serve, buy 3",,SUPER COFFEE,Coffee,1232,,,
344,"Sara Lee® bread select varieties, buy 2",WALMART,SARA LEE,Bread,18136,,,
345,"Sara Lee® bread select varieties, buy 2",WALMART,SARA LEE,Cheese,1028,,,
346,"Sara Lee® bread select varieties, buy 2",WALMART,SARA LEE,Bakery,916,,,
347,"Sara Lee® bread select varieties, buy 2",WALMART,SARA LEE,"Cereal, Granola, & Toaster Pastries",28,,,
348,"Sara Lee® bread select varieties, buy 2",WALMART,SARA LEE,Frozen Desserts,26,,,
349,GOYA® Coconut Water,,GOYA,Cooking & Baking,28252,,,
350,GOYA® Coconut Water,,GOYA,Packaged Vegetables,4204,,,
351,GOYA® Coconut Water,,GOYA,Rice & Grains,3469,,,
352,GOYA® Coconut Water,,GOYA,Sauces & Marinades,1056,,,
353,GOYA® Coconut Water,,GOYA,Water,850,,,
354,GOYA® Coconut Water,,GOYA,Packaged Meat,785,,,
355,GOYA® Coconut Water,,GOYA,Frozen Vegetables,512,,,
356,GOYA® Coconut Water,,GOYA,Cookies,471,,,
357,GOYA® Coconut Water,,GOYA,Dry Pasta,450,,,
358,GOYA® Coconut Water,,GOYA,Bread,258,,,
359,GOYA® Coconut Water,,GOYA,Frozen Fruits,256,,,
360,GOYA® Coconut Water,,GOYA,Drink Mixes,252,,,
361,GOYA® Coconut Water,,GOYA,Soup & Broth,186,,,
362,GOYA® Coconut Water,,GOYA,Fruit Juices,171,,,
363,GOYA® Coconut Water,,GOYA,Frozen Meals,138,,,
364,GOYA® Coconut Water,,GOYA,Frozen Appetizers,90,,,
365,GOYA® Coconut Water,,GOYA,Pickled Goods,83,,,
366,GOYA® Coconut Water,,GOYA,Malt Beverages,68,,,
367,GOYA® Coconut Water,,GOYA,Dips & Salsa,61,,,
368,GOYA® Coconut Water,,GOYA,Deli Counter,59,,,
369,GOYA® Coconut Water,,GOYA,Milk,46,,,
370,GOYA® Coconut Water,,GOYA,Pasta & Noodles,40,e8d9c191-47c0-46eb-affd-34b08a44ebbc,Dry Pasta,Pasta & Noodles
371,GOYA® Coconut Water,,GOYA,Pasta & Noodles,40,111bf216-d1df-4251-98b2-7bfa441d1bc0,Fresh Pasta,Pasta & Noodles
372,GOYA® Coconut Water,,GOYA,Frozen Chicken,33,,,
373,GOYA® Coconut Water,,GOYA,Pudding & Gelatin,32,,,
374,GOYA® Coconut Water,,GOYA,Carbonated Soft Drinks,28,,,
375,GOYA® Coconut Water,,GOYA,Frozen Seafood,21,,,
376,GOYA® Coconut Water,,GOYA,Nut Butters & Jam,17,,,
377,GOYA® Coconut Water,,GOYA,Packaged Seafood,17,,,
378,GOYA® Coconut Water,,GOYA,Crackers,12,,,
379,Spend $35 at TGI Friday's,TGI FRIDAYS,TGI FRIDAYS,Spirits,245,2e390809-d293-43d2-bfa3-56b06d24b3e1,Rum,Spirits
380,Spend $35 at TGI Friday's,TGI FRIDAYS,TGI FRIDAYS,Spirits,245,79e71bb6-c6f8-4782-9e2c-aa535c8d06d7,Vodka,Spirits
381,Spend $35 at TGI Friday's,TGI FRIDAYS,TGI FRIDAYS,Malt Beverages,33,,,
382,Spend $110 at Randalls,RANDALLS FOOD MARKETS,RANDALLS,,,,,
383,"Reese's Chocolate Cones, 8 count at GIANT OR MARTIN’S",GIANT FOOD,KLONDIKE,Frozen Desserts,5709,,,
384,"Reese's Chocolate Cones, 8 count at GIANT OR MARTIN’S",GIANT FOOD,KLONDIKE,Frozen Meals,1153,,,
385,Whole Pizza Pie at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Cooking & Baking,58,,,
386,Whole Pizza Pie at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks,42,,,
387,Shop 2 times at Star Market,STAR MARKET,STAR MARKET,Cooking & Baking,35,,,
388,"Hidden Valley® Ranch Seasoning, select varieties",,HIDDEN VALLEY RANCH,Dips & Salsa,10661,,,
389,"Hidden Valley® Ranch Seasoning, select varieties",,HIDDEN VALLEY RANCH,Sauces & Marinades,1537,,,
390,"Hidden Valley® Ranch Seasoning, select varieties",,HIDDEN VALLEY RANCH,Cooking & Baking,237,,,
391,"General Mills™ products, select varieties, spend $12",,ANNIES HOMEGROWN GROCERY,Cheese,1489,,,
392,"General Mills™ products, select varieties, spend $12",,ANNIES HOMEGROWN GROCERY,Crackers,961,,,
393,"General Mills™ products, select varieties, spend $12",,ANNIES HOMEGROWN GROCERY,Fruit & Vegetable Snacks,228,,,
394,"General Mills™ products, select varieties, spend $12",,ANNIES HOMEGROWN GROCERY,Dressings,208,,,
395,"General Mills™ products, select varieties, spend $12",,ANNIES HOMEGROWN GROCERY,Cooking & Baking,106,,,
396,"General Mills™ products, select varieties, spend $12",,ANNIES HOMEGROWN GROCERY,Refrigerated Doughs,92,,,
397,"General Mills™ products, select varieties, spend $12",,ANNIES HOMEGROWN GROCERY,Packaged Vegetables,56,,,
398,"General Mills™ products, select varieties, spend $12",,ANNIES HOMEGROWN GROCERY,Frozen Meals,52,,,
399,"General Mills™ products, select varieties, spend $12",,ANNIES HOMEGROWN GROCERY,Chips,48,,,
400,"General Mills™ products, select varieties, spend $12",,ANNIES HOMEGROWN GROCERY,Frozen Pizza & Pizza Snacks,38,,,
401,"General Mills™ products, select varieties, spend $12",,ANNIES HOMEGROWN GROCERY,"Cereal, Granola, & Toaster Pastries",32,,,
402,"General Mills™ products, select varieties, spend $12",,ANNIES HOMEGROWN GROCERY,Bread,20,,,
403,"General Mills™ products, select varieties, spend $12",,ANNIES HOMEGROWN GROCERY,Frozen Breakfast,18,,,
404,"General Mills™ products, select varieties, spend $12",,ANNIES HOMEGROWN GROCERY,Cookies,15,,,
405,"General Mills™ products, select varieties, spend $12",,ANNIES HOMEGROWN GROCERY,Soup & Broth,14,,,
406,Blue Apron Meal Kits,BLUE APRON,BLUE APRON,Cooking & Baking,19,,,
407,"Aleve® products, select varieties, 80 count+ at Walmart",WALMART,ALEVE,Medicines & Treatments,2594,,,
408,"Welch's® Juicefuls® Juicy Fruit Snacks, 14 count, at Target",TARGET,WELCHS FRUIT SNACKS,Fruit & Vegetable Snacks,7934,,,
409,"Welch's® Fruit Snacks, select varieties, 6 count+, buy 2",,WELCHS FRUIT SNACKS,Fruit & Vegetable Snacks,7934,,,
410,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,Prepared Meals,36533,,,
411,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,Leafy Salads,21413,,,
412,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,Tea,19776,,,
413,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,Wine,16286,,,
414,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,Fruit Juices,11220,,,
415,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,Cookies,8133,,,
416,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,Carbonated Soft Drinks,7387,,,
417,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,Cheese,6224,,,
418,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,Chips,5289,,,
419,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,Water,4804,,,
420,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,Milk,4223,,,
421,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,Bakery,2808,,,
422,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,Cooking & Baking,2320,,,
423,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,Packaged Meals & Sides,2145,,,
424,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,Pickled Goods,1987,,,
425,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,Soup & Broth,1668,,,
426,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,Frozen Chicken,1564,,,
427,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,Candy,1262,c99c5725-4d9b-404a-8438-5cf1dc4f12c3,Gum,Candy
428,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,Dressings,1059,,,
429,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,Coffee,762,,,
430,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,Packaged Fruit & Applesauce,464,,,
431,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,Fruit & Vegetable Snacks,361,,,
432,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,Frozen Meals,351,,,
433,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,Sauces & Marinades,247,,,
434,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,Dips & Salsa,60,,,
435,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,Bread,49,,,
436,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,Pasta & Noodles,44,e8d9c191-47c0-46eb-affd-34b08a44ebbc,Dry Pasta,Pasta & Noodles
437,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,Pasta & Noodles,44,111bf216-d1df-4251-98b2-7bfa441d1bc0,Fresh Pasta,Pasta & Noodles
438,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,Frozen Turkey,24,,,
439,"Arbos Cheese Dip, 12 ounce, buy at Central Market",CENTRAL MARKET,ARBOS,,,,,
440,L'Oréal Paris Excellence Hair Color at Target,TARGET,LOREAL PARIS HAIR COLOR,Hair Care,542,,,
441,"Kradle, select varieties, spend $20 at Walmart",WALMART,KRADLE,Cooking & Baking,91,,,
442,"Kradle, select varieties, spend $20 at Walmart",WALMART,KRADLE,Dog Supplies,19,,,
443,Frozen OR Fountain Drink at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Cooking & Baking,58,,,
444,Frozen OR Fountain Drink at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks,42,,,
445,"Arnold, Brownberry, Oroweat® Keto bread, buy 2",,ARNOLD BROWNBERRY OROWEAT,Bread,8390,,,
446,"Arnold, Brownberry, Oroweat® Keto bread, buy 2",,ARNOLD BROWNBERRY OROWEAT,Prepared Meals,86,,,
447,"Arnold, Brownberry, Oroweat® Keto bread, buy 2",,ARNOLD BROWNBERRY OROWEAT,Bakery,20,,,
448,Shop 2 times at Shaw's,SHAWS,SHAWS,Cooking & Baking,28,,,
449,"Welch's®Fruit Snacks, spend $8",,WELCHS FRUIT SNACKS,Fruit & Vegetable Snacks,7934,,,
450,"Children's Astepro® Allergy, 22 count at Dollar General",DOLLAR GENERAL STORE,ASTEPRO,Medicines & Treatments,313,,,
451,Spend $10 in-store at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Cooking & Baking,58,,,
452,Spend $10 in-store at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks,42,,,
453,"Fresh bakery item, select varieties, at Casey's",CASEYS GENERAL STORE,CASEYS GENERAL STORE,Cooking & Baking,58,,,
454,"Fresh bakery item, select varieties, at Casey's",CASEYS GENERAL STORE,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks,42,,,
455,"SNICKERS® chocolate candy bar, select varieties",,SNICKERS,Candy,23740,c99c5725-4d9b-404a-8438-5cf1dc4f12c3,Gum,Candy
456,Rao's® Frozen Pizza,,RAO'S,Sauces & Marinades,2382,,,
457,Rao's® Frozen Pizza,,RAO'S,Dry Pasta,512,,,
458,Rao's® Frozen Pizza,,RAO'S,Frozen Meals,498,,,
459,Rao's® Frozen Pizza,,RAO'S,Alfredo & White Pasta Sauce,276,,,
460,Rao's® Frozen Pizza,,RAO'S,Red Pasta Sauce,167,,,
461,Rao's® Frozen Pizza,,RAO'S,Pasta & Noodles,113,e8d9c191-47c0-46eb-affd-34b08a44ebbc,Dry Pasta,Pasta & Noodles
462,Rao's® Frozen Pizza,,RAO'S,Pasta & Noodles,113,111bf216-d1df-4251-98b2-7bfa441d1bc0,Fresh Pasta,Pasta & Noodles
463,Rao's® Frozen Pizza,,RAO'S,Frozen Pizza & Pizza Snacks,53,,,
464,"GATORADE® Fast Twitch®, 12-ounce single serve, buy 2 at Kroger",FRED MEYER,GATORADE,Sports Drinks,34829,,,
465,"GATORADE® Fast Twitch®, 12-ounce single serve, buy 2 at Kroger",FRED MEYER,GATORADE,Medicines & Treatments,25275,,,
466,"GATORADE® Fast Twitch®, 12-ounce single serve, buy 2 at Kroger",FRED MEYER,GATORADE,Meal Replacement Beverages,289,,,
467,"Bimbo® sweet baked goods, buy 2",,BIMBO,Snack Cakes,3914,,,
468,"Bimbo® sweet baked goods, buy 2",,BIMBO,Bread,2324,,,
469,"Bimbo® sweet baked goods, buy 2",,BIMBO,Bakery,57,,,
470,"Bimbo® sweet baked goods, buy 2",,BIMBO,Cookies,42,,,
471,Any Shaw's receipt,SHAWS,SHAWS,Cooking & Baking,28,,,
472,"Gorton's, at select retailers",STOP & SHOP,GORTONS,Frozen Seafood,122,,,
473,"Gorton's, at select retailers",STOP & SHOP,GORTONS,Jerky & Dried Meat,14,,,
474,"Gorton's, at select retailers",STOP & SHOP,GORTONS,Frozen Meals,13,,,
475,"Butterball, select varieties, spend $10 at Food 4 Less",FOOD4LESS,BUTTERBALL,Nut Butters & Jam,2107,,,
476,"Butterball, select varieties, spend $10 at Food 4 Less",FOOD4LESS,BUTTERBALL,Frozen Turkey,388,,,
477,NatuChips® Plantain Chips,,NATUCHIPS,Chips,129,,,
478,"Beech-Nut pouches, buy 8",,BEECHNUT,Crackers,3732,,,
479,"Beech-Nut pouches, buy 8",,BEECHNUT,Fruit & Vegetable Snacks,355,,,
480,"Beech-Nut pouches, buy 8",,BEECHNUT,Nuts & Seeds,45,,,
481,"Beech-Nut pouches, buy 8",,BEECHNUT,Cookies,24,,,
482,Spend $45 at Zaxby's,ZAXBYS,ZAXBYS,,,,,
483,"Back to the Roots Raised Bed Gardening Kit with Soil, Seeds and Plant Food, at Target",TARGET,BACK TO THE ROOTS,Packaged Meals & Sides,146,,,
484,"Ben & Jerry's®, select varieties, spend $12",,BEN AND JERRYS,Frozen Desserts,18085,,,
485,Any ACME receipt,ACME,ACME,Medicines & Treatments,449,,,
486,Spend $220 at Tom Thumb,TOM THUMB,TOM THUMB,,,,,
487,"Promised Land Dairy Milk, 52-ounce",,PROMISED LAND DAIRY,Milk,32,,,
488,"Welch's® Fruit 'n Yogurt® Snacks, 18 count, at Walmart",WALMART,WELCHS FRUIT SNACKS,Fruit & Vegetable Snacks,7934,,,
489,Hidden Valley® Ranch Seasoning Shaker,,HIDDEN VALLEY RANCH,Dips & Salsa,10661,,,
490,Hidden Valley® Ranch Seasoning Shaker,,HIDDEN VALLEY RANCH,Sauces & Marinades,1537,,,
491,Hidden Valley® Ranch Seasoning Shaker,,HIDDEN VALLEY RANCH,Cooking & Baking,237,,,
492,"CORE® Hydration, select varieties, at Walmart",WALMART,CORE HYDRATION,Water,4595,,,
493,When you join Costco as a Gold Star Member* (New Members Only),COSTCO,COSTCO,,,,,
494,Whole pizza at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Cooking & Baking,58,,,
495,Whole pizza at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks,42,,,
496,Spend $40 at Farmer Boys,FARMER BOYS,FARMER BOYS,,,,,
497,"Colgate® Toothpaste AND Colgate® Toothbrush, select varieties at Walmart or Target",TARGET,COLGATE TOOTHBRUSHES,Oral Care,2172,dd9dfdb2-fa2e-4f6a-b234-c9518212c718,Toothpaste,Oral Care
498,"L'Oréal Paris Hair color, select varieties, spend $25 at Target",TARGET,LOREAL PARIS HAIR COLOR,Hair Care,542,,,
499,"TWIX®, select varieties",,TWIX,Candy,16006,c99c5725-4d9b-404a-8438-5cf1dc4f12c3,Gum,Candy
500,"TWIX®, select varieties",,TWIX,Cookies,121,,,
501,Spend $15 at KFC,KFC,KFC,,,,,
